"system.index","X","Y","aadt","cntr","cveh2011_1k","cveh2011_10k","cveh2011_100k","cveh2011_12k","cveh2011_15k","cveh2011_150k","cveh2011_20k","cveh2011_200k","cveh2011_25k","cveh2011_30k","cveh2011_45k","cveh2011_5k","cveh2011_50k","cveh2011_75k","cveh2011_8k","elevation","highway_100","highway_200","highway_300","highway_400","highway_50","highway_500","imd_2012_100","imd_2012_1k","imd_2012_10k","imd_2012_1200","imd_2012_1500","imd_2012_1800","imd_2012_200","imd_2012_2k","imd_2012_2500","imd_2012_300","imd_2012_3500","imd_2012_400","imd_2012_4k","imd_2012_500","imd_2012_5k","imd_2012_600","imd_2012_6k","imd_2012_700","imd_2012_7k","imd_2012_800","imd_2012_8k","lane_10_primary","lane_10_residential","lane_10_unclassified","lane_20_highway","maxv_10_primary","maxv_10_residential","maxv_10_unclassified","maxv_20_highway","method","pcar2011_1k","pcar2011_10k","pcar2011_100k","pcar2011_12k","pcar2011_15k","pcar2011_150k","pcar2011_20k","pcar2011_200k","pcar2011_25k","pcar2011_30k","pcar2011_45k","pcar2011_5k","pcar2011_50k","pcar2011_75k","pcar2011_8k","pop2011","pop2011_1k","pop2011_10k","pop2011_100k","pop2011_12k","pop2011_15k","pop2011_150k","pop2011_20k","pop2011_200k","pop2011_25k","pop2011_30k","pop2011_45k","pop2011_5k","pop2011_50k","pop2011_75k","pop2011_8k","primary_100","primary_200","primary_300","primary_400","primary_50","primary_500","res_2012_100","res_2012_1k","res_2012_10k","res_2012_1200","res_2012_1500","res_2012_1800","res_2012_200","res_2012_2k","res_2012_2500","res_2012_300","res_2012_3500","res_2012_400","res_2012_4k","res_2012_500","res_2012_5k","res_2012_600","res_2012_6k","res_2012_700","res_2012_7k","res_2012_800","res_2012_8k","slope","unclassified_100","unclassified_200","unclassified_300","unclassified_400","unclassified_50","unclassified_500","year",".geo","lane_10_localA","maxv_10_localA","localA_50","localA_100","localA_200","localA_300","localA_400","localA_500","residential_50","residential_100","residential_200","residential_300","residential_400","residential_500","road_tag","area_type"
"000000000000000026bc_0",3572412.5,3194962.5,2888,"UK",651,23610,1309395,28689,43582,1907255,75510,2446437,109839,144166,374686,7532,506609,1062823,17671,92,0,0,0,0,0,0,1,58,3921,73,114,168,5,201,280,11,441,17,584,24,1062,29,1638,34,2300,40,2844,0,0,0,0,0,0,0,0,"Manual count",4806,174085,9654348,211531,321338,14062450,556750,17936341,809861,1062956,2762612,55537,3735300,7836339,130291,1482,9729,352399,19543216,428202,650482,28466499,1127026,36317277,1639396,2151734,5592334,112424,7561337,15863035,263748,0,0,0,0,0,0,5,214,9188,270,404,540,13,635,826,29,1191,49,1516,78,2654,100,3958,123,5420,153,6856,1.2835226,0,0,0,0,0,15,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.7941595884926701,51.366305802305334]}",2,48,95.56086,372.55786,791.3461,1178.517,1681.8597,2404.7855,113.03544,330.0199,1170.2866,3032.746,5529.0986,8063.521,"localA","urban"
"000000000000000025d8_0",3557432.5,3473472.5,477,"UK",1238,54294,933466,68243,86409,1467175,116996,1770159,143428,160869,250618,14340,315455,582191,34981,107,0,0,0,0,0,0,1,112,9163,167,267,380,4,467,665,11,1133,20,1339,31,2105,41,3142,53,4503,70,6097,0,1,0,0,0,0,0,0,"Manual count",9134,400319,6882571,503167,637107,10817682,862631,13051625,1057518,1186112,1847845,105730,2325897,4292573,257925,3635,18491,810364,13932331,1018557,1289691,21898142,1746217,26492236,2140725,2401038,3740578,214030,4708295,8689420,522116,0,0,0,0,0,478.5689,5,239,14870,321,487,702,13,882,1296,29,2312,49,2748,77,4208,103,5845,131,7650,165,9779,3.9028685,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.6488544786309207,53.814108509916295]}",0,0,0,0,96.57546,447.29205,1162.27692,2671.01183,229.94466,407.89337,1272.019,2949.3713,5746.438,8528.51,"residential","urban"
"00000000000000000e6c_0",3579287.5,3601452.5,790,"UK",1735,41575,205005,49823,69576,510498,91460,1230633,104152,108753,131324,19970,142229,180726,33813,98,0,0,0,0,0,0,4,150,8072,210,330,465,10,580,870,18,1813,28,2395,45,3599,63,4619,80,5477,102,6413,0,1,0,0,0,32,0,0,"Manual count",12793,306541,1511535,367358,512998,3763975,674351,9073626,767933,801854,968274,147245,1048679,1332523,249314,8248,25897,620529,3059788,743641,1038459,7619384,1365084,18387044,1554522,1623187,1960070,298067,2122834,2697417,504686,0,0,0,442.29935,0,716.7188,0,159,11987,233,390,567,1,697,1158,5,2617,11,3505,24,5392,38,6985,52,8326,78,9603,1.8350599,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.6382028445605388,54.97835973970477]}",0,0,0,112.392265,613.84827,1200.164,1690.3333,2134.373,147.53693,519.514,1634.0385,2827.4153,4841.879,6957.158,"residential","urban"
"000000000000000002cf_0",4392702.5,2939942.5,76421,"DE",368,9017,184861,12551,23363,441372,35753,1054924,42436,49171,67408,3763,72954,112217,6054,290,401.4884,802.35254,1376.5496,1957.3677,200.75145,2566.722,3,119,3500,155,241,321,8,391,584,18,951,26,1171,40,1452,53,1744,65,2095,82,2543,0,0,0,3,0,0,0,80,"Automatic counter",5174,126726,2597791,176375,328314,6057417,502426,14344828,596347,690990,947273,52884,1025203,1576945,85079,1238,9691,237315,4864778,330291,614821,11390720,940874,27024855,1116755,1293989,1773921,99035,1919857,2953082,159325,0,0,0,0,0,0,5,200,5110,246,308,383,13,457,672,29,1225,49,1482,80,2113,107,2564,131,3066,156,3724,0.8116505,35,35,35,35,15,35,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.991095774610853,49.567916481189705]}",0,0,0,126.206696,369.35724,573.0819,787.23364,1440.3291,48.78047,358.08936,1590.1641,3476.892,5357.6953,7453.031,"highway","urban"
"0000000000000000221d_0",3644797.5,3515812.5,6860,"UK",264,4698,294584,4793,5472,723418,6028,1298878,8056,11352,16788,3374,22513,116781,4351,39,0,0,0,0,0,0,0,9,824,17,41,77,0,100,148,0,309,0,405,0,483,0,517,0,546,1,664,2,0,0,0,96,0,0,0,"Manual count",1951,34639,2172013,35342,40351,5333859,44451,9576808,59401,83701,123784,24880,165998,861045,32082,272,3951,70121,4396789,71544,81684,10797286,89982,19386252,120246,169437,250575,50365,336029,1743007,64945,192.81432,418.58,600.9103,817.2394,91.53281,1022.901,0,15,1656,38,126,226,0,300,476,0,790,0,952,0,1092,0,1141,0,1228,2,1515,0.64154,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.4282273549489353,54.308844150729634]}",0,0,0,0,0,0,0,0,0,0,0,0,318.77124,587.9419,"primary","rural"
"00000000000000000aaa_0",4813117.5,1909257.5,6026,"IT",2,1419,142905,2313,3504,568115,5194,952588,8239,11567,23371,647,27942,70905,889,603,0,0,0,0,0,0,0,1,117,1,2,3,0,7,25,0,49,0,56,0,63,0,68,0,76,0,83,2,0,0,0,70,0,0,0,"Automatic counter",21,10690,1076098,17423,26389,4277976,39111,7173106,62046,87108,175988,4873,210408,533928,6700,1,34,17105,1721757,27878,42223,6844845,62579,11477181,99274,139373,281581,7798,336654,854286,10720,201.24051,406.05896,577.4597,796.2888,94.64704,1026.7006,0,0,317,0,2,11,0,25,77,0,154,0,167,0,167,0,169,0,202,0,202,20.061634,0,0,0,0,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.748652261585391,40.110106481514]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"00000000000000000c44_0",3642277.5,3362002.5,2242,"UK",18,4104,491555,4613,5595,1433982,10614,2754290,14295,17959,61018,505,72818,200363,2484,3,0,0,0,0,0,0,0,5,1041,7,10,27,0,36,55,0,85,2,120,3,183,4,299,4,427,4,607,0,0,0,0,0,0,0,0,"Manual count",139,30265,3624307,34018,41253,10572942,78259,20307751,105405,132420,449897,3727,536900,1477305,18320,85,282,61267,7336654,68864,83509,21402718,158421,41108808,213372,268057,910723,7546,1086844,2990497,37086,0,0,0,0,0,0,0,0,1544,0,5,32,0,45,66,0,89,0,116,0,175,0,367,0,615,0,942,0,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.1329180499147078,52.93960161688774]}",2,48,100.921234,202.11662,379.87244,587.2437,794.23334,1023.13226,0,0,0,0,0,0,"localA","rural"
"0000000000000000289f_0",3579757.5,3270437.5,794,"UK",240,13995,1418951,17774,20404,2218360,27613,3005144,45884,72322,160509,3671,197874,663484,9499,73,0,0,0,0,0,0,0,19,2325,33,58,80,0,104,155,0,337,0,456,2,651,4,927,6,1233,9,1536,0,0,0,0,0,0,0,0,"Manual count",1770,103188,10462117,131053,150445,16356269,203595,22157334,338314,533242,1183456,27072,1458953,4891961,70038,332,3584,208883,21178376,265291,304545,33109858,412136,44852904,684847,1079439,2395661,54803,2953348,9902756,141778,0,0,0,0,0,0,0,58,5195,96,168,210,0,237,369,0,679,0,828,5,1379,12,2035,20,2695,30,3572,1.1827859,0,0,5,15,0,20,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.8503663757653857,52.04580684206856]}",2,48,82.211105,199.08525,388.1939,862.18823,1196.0269,1558.0398,0,0,0,114.25315,165.15369,1163.925,"localA","urban"
"000000000000000012fb_0",3619262.5,3131822.5,6314,"UK",339,11156,1090593,17430,27695,1509763,38720,2141601,51670,63364,114791,1453,130012,585937,5236,9,0,0,808.08777,1368.3263,0,1849.6199,0,23,1417,32,55,78,0,91,114,1,122,2,125,4,138,7,225,9,359,13,633,0,0,0,0,0,0,0,0,"Manual count",2505,82259,8041091,128514,204200,10913237,285494,14798553,380975,467195,846371,10719,958599,4320199,38609,165,5072,166518,16277514,260150,413362,22110700,577924,30042344,771205,945739,1713302,21700,1940485,8745343,78156,0,0,0,0,0,0,3,122,3242,158,244,328,7,372,439,12,461,19,470,32,495,44,682,58,1050,77,1731,4.658746,25,55,225,390,5,520,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.003376215794925969,50.86512285479788]}",2,64,90.86386,195.92899,402.2105,590.5804,850.6029,1423.37644,7.5748034,68.620926,393.16693,393.16693,516.0496,1676.2135,"localA","urban"
"00000000000000001844_0",3590227.5,3842087.5,29889,"UK",1337,15167,58529,16442,17288,130591,18856,285035,20830,22529,26027,10263,28307,37937,14206,8,0,0,0,0,0,0,1,112,3337,148,231,339,4,435,699,9,1344,17,1586,30,1999,40,2287,53,2608,69,2980,2,0,0,0,48,0,0,0,"Automatic counter",9863,111834,431542,121232,127471,962870,139031,2101606,153583,166113,191904,75676,208713,279720,104743,2812,19966,226386,873620,245410,258039,1949190,281440,4254324,310897,336263,388471,153192,422496,566235,212032,231.65593,777.3319,1310.8289,1815.3257,91.36424,2279.3418,2,228,4800,301,441,592,6,710,1000,16,1777,29,2018,49,2671,75,3269,104,3799,142,4403,2.075458,0,35,180,225,0,225,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.118883893125372,57.12292241315241]}",0,0,0,27.636307,588.071156,1505.7038,2647.0232,3935.9624,0,0,16.75012,624.2395,2107.8577,3895.4077,"primary","urban"
"00000000000000002c93_0",4244877.5,2525732.5,28049.6821917808,"CH",929,20232,816479,25592,40509,1219562,70205,1909048,114692,180820,434556,6425,502860,683095,14689,246,573.1613,992.4093,1362.7551,1789.1604,269.4674,2201.1162,3,137,3287,176,255,306,8,340,416,17,603,26,703,36,982,50,1316,65,1792,84,2375,0,0,0,2,0,0,0,82,"Automatic counter",8879,162397,6223704,203287,316643,9443872,549990,15459305,896029,1396574,3327296,55561,3843329,5205624,120101,2029,10721,250273,9999254,315560,496853,15316043,875536,25744109,1437747,2240801,5347347,81312,6174472,8358441,183132,115.396935,692.154,946.45044,1137.2722,20.766737,1339.009,5,217,7511,283,416,535,13,619,826,29,1413,48,1744,72,2385,96,3144,118,4231,148,5496,1.4380639,110,290,455,670,25,950,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.021400460888106,45.83985733754537]}",0,0,86.570496,193.27527,801.55802,1178.31796,1517.1555,1832.9386,4.6491346,82.60215,540.0229,2022.3907,3802.6396,5557.491,"highway","urban"
"00000000000000001238_0",3653092.5,3428682.5,620,"UK",1023,10738,369430,11321,11832,979470,13264,1902933,17747,32700,62279,8487,72788,131665,10292,19,0,0,0,0,0,0,2,92,2452,121,190,261,6,313,438,13,841,19,1121,28,1595,35,1934,43,2079,56,2171,0,1,0,0,0,0,0,0,"Manual count",7542,79176,2723857,83473,87243,7221769,97803,14030587,130854,241102,459193,62581,536676,970789,75887,5490,15269,160276,5513882,168974,176606,14618966,197983,28401998,264888,488061,929542,126683,1086389,1965160,153618,0,0,0,0,0,0,5,189,3410,252,397,550,13,671,932,27,1464,41,1752,59,2339,75,2877,93,3154,118,3187,0.4062486,0,0,0,0,0,15,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.11266562799265926,53.545571875896535]}",0,0,0,0,266.06396,464.57108,834.8291,1215.0013,168.31856,584.0361,1582.365,3621.4263,6258.8867,8134.5186,"residential","urban"
"00000000000000002a57_0",3641702.5,3179732.5,1252,"UK",146,7995,1210322,13129,27902,1582810,80269,2243218,167100,301656,665530,2424,748677,1029301,4375,208,0,0,0,0,0,0,0,0,1110,1,12,23,0,30,41,0,97,0,155,0,263,0,421,0,543,0,651,0,0,0,0,0,0,0,0,"Manual count",1076,58952,8923873,96805,205731,11548160,591838,16044124,1232057,2224150,4907043,17877,5520101,7589177,32262,40,2180,119338,18064521,195963,416460,23387535,1198054,32518870,2494043,4502329,9933287,36190,11174294,15362708,65308,0,0,0,0,0,0,0,5,3905,25,95,144,0,175,241,0,351,0,503,0,862,0,1444,0,2113,0,2461,2.0888684,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.22258510083866184,51.318461641905365]}",2,48,92.23294,192.17993,390.2741,592.3611,812.5918,1017.68396,0,0,0,0,0,0,"localA","rural"
"00000000000000001e50_0",3451247.5,3224382.5,35176,"UK",1846,42701,466768,44680,50358,1144569,63886,2263417,71433,85207,155807,23213,183792,305877,37510,13,684.39667,1401.5314,2109.4185,2801.463,274.4819,3386.5757,4,252,7115,341,515,698,11,843,1259,24,2055,40,2416,65,3260,91,4152,120,4926,157,5732,0,0,0,2,0,0,0,48,"Manual count",13614,314846,3441547,329431,371297,8439066,471041,16688381,526687,628247,1148793,171153,1355129,2255273,276570,4375,27560,637341,6966696,666866,751614,17083131,953526,33782158,1066170,1271757,2325492,346464,2743178,4565330,559859,0,0,6.480887,290.46893,0,988.4823,5,315,12276,431,682,960,13,1186,1821,29,3316,49,4022,81,5743,113,7511,149,8944,197,10500,1.8385602,70,390,855,1545,30,2140,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.5841919158687334,51.453061126959255]}",0,0,0,0,299.82367,1015.3745,1666.82721,2242.42324,0,0,86.01224,419.23163,951.70825,1909.971,"highway","urban"
"00000000000000002322_0",3675487.5,3282567.5,33518,"UK",38,3398,849525,4089,7981,1597782,10738,2362503,21213,35463,68216,498,90650,271864,1429,35,370.34952,793.7878,1209.3876,1594.2327,193.5216,1989.3774,0,9,643,10,15,19,0,20,28,1,51,2,69,4,87,6,112,7,144,7,271,0,0,0,2,0,0,0,112,"Dependent on a neighbouring counted link",281,25055,6263668,30153,58850,11780664,79177,17280678,156411,261477,502970,3676,668379,2004493,10540,60,569,50720,12679490,61039,119131,23847500,160278,34994138,316623,529306,1018159,7442,1352994,4057679,21338,0,0,0,0,0,0,0,17,1457,24,41,46,0,46,49,1,150,3,209,5,243,10,267,13,435,14,787,1.4349694,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.5121969867024279,52.273415898499714]}",0,0,0,0,290.55048,523.87604,732.05347,1003.76276,0,0,0,0,0,137.59377,"highway","urban"
"000000000000000004fd_0",4579902.5,3426507.5,7517,"DE",20,214,104177,260,530,203419,2670,489798,6533,7705,13294,78,15108,71678,124,14,0,0,0,0,0,0,0,8,187,11,17,31,0,35,43,0,44,0,51,0,57,1,67,1,87,3,108,2,0,0,0,70,0,0,0,"Automatic counter",281,3011,857983,3667,7458,1872495,32579,4990027,64057,78808,149040,1101,166368,586181,1749,224,527,5639,1706189,6868,13967,3672520,61713,9697727,124587,152506,285138,2062,318945,1168611,3277,211.10925,411.4693,581.4388,798.9002,93.09709,997.34973,0,21,224,24,39,59,0,70,80,0,83,0,107,2,108,5,108,6,108,11,108,2.3138866,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.938631241423414,53.882356628141245]}",0,0,0,0,0,0,164.42621,427.1789,0,0,0,0,0,0,"primary","rural"
"0000000000000000151e_0",3424282.5,3262842.5,2629,"UK",73,7553,390683,11713,18506,928879,31846,1974828,45311,68537,134461,1840,168886,281908,4469,350,0,0,0,0,0,0,0,8,1491,13,19,27,1,33,68,1,153,1,184,3,291,3,456,3,599,5,860,0,0,0,0,0,0,0,0,"Manual count",544,55692,2880561,86367,136450,6848751,234812,14560676,334084,505333,991400,13567,1245222,2078548,32950,344,1102,112738,5831096,174833,276216,13863870,475328,29475054,676284,1022943,2006884,27464,2520694,4207589,66702,0,0,0,193.16553,0,518.24384,0,12,3061,22,43,69,0,94,179,0,333,0,370,0,633,0,970,0,1361,4,1852,5.423125,15,100,230,550,0,635,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.0653910971771383,51.750146362897055]}",2,91,125.34751,222.39195,401.50787,580.88257,787.7904,999.6216,0,34.60885,364.39554,574.1287,764.0419,977.4188,"localA","rural"
"00000000000000001267_0",3582192.5,3437302.5,4203,"UK",217,18086,870425,22913,33507,1563407,54821,1961514,87827,126231,241491,6098,289566,606960,12094,42,0,446.4809,1027.9696,1465.2356,0,1935.6244,0,0,3875,6,35,74,0,114,206,0,501,0,735,0,1261,0,1868,0,2330,0,2702,0,0,0,0,0,0,0,0,"Manual count",1606,133351,6417765,168945,247057,11527212,404203,14462507,647565,930724,1780546,44964,2135012,4475200,89170,0,3253,269942,12991429,341995,500117,23334439,818226,29276331,1310861,1884057,3604346,91022,4321888,9059110,180508,0,0,0,0,0,0,0,0,6310,10,62,144,0,227,429,0,935,0,1322,0,2039,0,2850,0,3671,0,4379,1.9254168,0,0,160,280,0,375,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.191212721120477,53.528713362651864]}",2,96,89.90371,191.62936,408.56732,638.9585,843.5567,1074.8367,0,0,0,0,0,0,"localA","rural"
"000000000000000013d5_0",3344312.5,3206142.5,4938,"UK",4,3979,268218,4917,5762,438428,8281,661601,8801,9398,14189,1078,19210,137694,3093,68,0,0,0,0,0,0,0,0,796,1,1,2,0,4,10,0,40,0,92,0,261,0,389,0,493,0,627,0,0,0,0,0,0,0,0,"Manual count",32,29342,1977613,36254,42484,3232589,61057,4878049,64898,69294,104619,7949,141640,1015238,22807,0,66,59398,4003267,73390,86000,6543703,123599,9874627,131373,140273,211781,16093,286721,2055139,46170,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,0,71,0,184,0,375,0,669,0,821,0,1070,7.08415,0,0,35,165,0,200,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.048288347621189,51.11774663980176]}",2,48,87.008286,203.13716,418.93982,649.72473,850.9995,1057.1438,0,0,0,0,0,0,"localA","rural"
"00000000000000000a49_0",4904697.5,1854922.5,1343,"IT",0,1540,114636,2804,4548,321780,6043,558435,8986,10457,23794,362,31431,82653,1305,101,0,0,0,0,0,0,0,0,255,0,0,0,0,0,1,0,7,0,14,0,32,0,119,0,157,0,189,0,0,0,0,0,0,0,0,"Automatic counter",0,11601,863224,21115,34247,2423042,45505,4205084,67670,78745,179176,2732,236683,622394,9829,0,0,18562,1381198,33785,54796,3876918,72808,6728313,108273,125993,286682,4372,378694,995835,15727,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,19,0,36,0,95,0,313,0,397,0,494,10.007029,0,0,0,0,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.762774099383275,39.55179977414066]}",2,50,99.24022,176.27708,383.05618,580.9503,823.7652,1021.15546,0,0,0,0,0,0,"localA","rural"
"00000000000000002d03_0",4121747.5,2652177.5,39505.9397260274,"CH",537,12655,352422,13953,17604,685456,22620,1348254,34377,44633,67587,5234,76178,185194,9743,558,351.78473,789.895,1160.9279,1599.9642,176.74261,2209.2334,0,78,2585,100,146,191,2,241,325,6,543,11,722,17,1018,26,1309,38,1622,52,1977,0,0,0,2,0,0,0,100,"Automatic counter",6045,142441,3328088,157050,198144,6011225,254601,10880956,386932,502367,760719,58914,856097,1920197,109671,1454,11429,269265,6280793,296882,374564,11346545,481289,20144028,731442,949655,1438033,111370,1618058,3592154,207319,207.7009,392.6682,596.4148,831.37366,88.09283,1126.552,1,137,5452,187,280,387,5,439,512,14,962,25,1302,43,2049,59,2703,74,3294,91,4148,0.8118064,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.384224274732767,46.95147665114536]}",0,0,0,0,0,174.39624,526.32996,758.0416,0,0,40.73548,549.4409,1364.3956,2318.3972,"highway","urban"
"00000000000000002472_0",3522707.5,3721547.5,20275,"UK",10,3711,245400,4196,7070,427534,17126,549831,34834,49205,76874,866,83748,151351,2844,105,450.15167,825.2407,1225.4863,1601.0874,250.08434,1977.1101,0,6,827,10,11,17,0,19,26,1,80,1,151,1,240,2,318,2,492,4,646,0,0,0,2,0,0,0,112,"Automatic counter",79,27365,1809371,30939,52131,3152269,126277,4053982,256842,362796,566802,6392,617488,1115934,20972,0,161,55395,3662748,62631,105530,6381164,255622,8206564,519924,734405,1147374,12940,1249976,2259029,42454,0,301.18625,502.02478,753.10175,0,953.94855,0,0,1280,0,0,0,0,0,0,0,53,0,193,0,352,0,485,0,774,0,1001,0.28740832,0,0,0,135,0,230,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.8503730733929116,55.953408093951005]}",0,0,0,0,10.658879,135.6634,235.66702,335.67065,0,0,0,0,0,0,"highway","rural"
"00000000000000000028_0",4786417.5,2800252.5,18714,"AT",832,44998,244374,56958,78072,500210,96692,789068,106208,112102,128749,7942,137477,192423,22978,239,0,0,0,0,0,0,1,66,6169,91,140,204,3,256,402,7,814,11,1040,18,1662,26,2347,34,3097,42,4028,3,0,0,0,50,0,0,0,"Automatic counter",8935,483283,2298164,611738,838493,4252389,1038482,6441103,1140677,1203976,1382770,85301,1476210,1906456,246785,3544,16640,899969,4721546,1139177,1561441,9263864,1933859,14502356,2124166,2242041,2574991,158849,2748285,3776126,459563,214.01175,550.21045,864.26855,1160.6671,104.22764,1460.0332,5,247,10930,339,504,684,13,828,1184,27,1899,43,2294,69,3561,94,4819,124,5980,160,7352,1.2184025,0,0,0,0,0,0,2010,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.258937059533103,48.13820303817293]}",0,0,0,0,143.98666,269.00195,369.0199,478.69153,26.072895,393.20844,1095.9308,1701.395,3384.0664,5530.289,"primary","urban"
"00000000000000000b53_0",3595207.5,3206067.5,163456,"UK",307,51393,1365466,71210,108612,1933144,196768,2480290,317173,461843,768105,9516,829697,1064886,28089,33,390.1769,2833.2637,5113.788,7257.424,214.10634,9821.186,0,38,8366,63,117,189,2,254,478,5,1130,8,1486,13,2320,16,3255,20,4344,26,5621,0,0,0,3,0,0,0,112,"Dependent on a neighbouring counted link",2265,378928,10067768,525041,800817,14253335,1450801,18175825,2338565,3405233,5663347,70169,6117470,7851551,207106,267,4586,767061,20380098,1062837,1621088,28852905,2936845,36802949,4733938,6893185,11464266,142043,12383544,15893829,419244,0,0,0,0,0,0,0,5,12426,34,128,233,0,301,460,0,896,0,1244,0,2089,0,3472,0,5250,0,7477,2.8399842,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.4924809438856146,51.49468109896153]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"highway","rural"
"000000000000000023f4_0",3647527.5,3438622.5,8586,"UK",218,3303,405005,5883,12902,1003847,32801,1869928,39741,47396,63533,831,72898,164872,1418,1,0,0,0,0,0,0,0,103,1806,159,285,384,0,455,612,1,879,2,1020,10,1170,22,1229,35,1312,53,1374,2,0,0,0,48,0,0,0,"Manual count",1610,24354,2986163,43377,95134,7401499,241848,13787233,293022,349462,468438,6130,537489,1215629,10456,0,3261,49300,6044865,87809,192580,14982793,489571,27909379,593163,707413,948256,12410,1088036,2460789,21167,382.83295,813.2868,1082.4519,1402.9148,183.95412,1725.9012,0,27,1136,55,126,181,0,212,235,0,267,0,277,0,336,0,362,1,533,4,592,1.4340739,0,0,0,20,0,200,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.21722763494229513,53.62688058836189]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"00000000000000002040_0",3596652.5,3213262.5,95364,"UK",236,44873,1361354,62606,105709,1980651,186927,2507697,296845,438700,775053,7028,826847,1056823,23136,35,448.06216,1073.8468,1699.4868,2300.1897,220.60248,3329.081,0,32,6559,51,98,153,0,192,310,1,670,3,835,6,1259,9,1819,12,2550,18,3674,0,0,0,3,0,0,0,112,"Manual count",1745,330858,10037451,461604,779410,14603609,1378240,18383110,2188682,3234594,5714574,51823,6096453,7792105,170589,561,3534,669755,20318728,934422,1577754,29561962,2789961,37222098,4430531,6547762,11567964,104905,12341000,15773492,345323,0,0,0,0,0,47.131603,0,78,12454,123,215,297,0,350,592,1,1264,4,1581,6,2473,10,3644,17,5161,32,7452,0.9075776,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.4866768922040073,51.560441066712585]}",0,0,0,0,0,0,0,0,0,26.698875,167.61893,373.437,748.5563,959.4168,"highway","urban"
"0000000000000000237d_0",3629547.5,3319897.5,39657,"UK",381,13235,605375,13887,15771,2031953,18787,2909358,27021,36038,81936,6625,106833,291653,11885,9,629.7154,1339.558,1932.3032,2532.4412,288.58405,3712.5166,1,95,2689,141,214,281,2,331,482,4,890,6,1077,10,1505,15,1914,25,2196,43,2469,0,0,0,1,0,0,0,107,"Manual count",2809,97587,4463512,102396,116287,14981869,138523,21451090,199229,265716,604125,48848,787697,2150396,87635,321,5688,197546,9035451,207280,235400,30327671,280411,43423261,403299,537888,1222926,98884,1594530,4353030,177400,163.4487,364.7119,608.6329,1330.2639,9.922743,2041.5405,3,93,4815,147,273,377,5,437,610,10,1248,15,1629,21,2499,27,3253,33,3838,47,4403,0.9075472,0,15,50,50,0,50,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.23212884066611283,52.54953499363562]}",0,0,0,0,0,204.73833,534.9326,807.39954,0,32.820427,496.62747,976.4457,1449.2251,1980.573,"highway","urban"
